[DEBUG] 2019-10-06 16:33:23.822 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-10-06 16:33:23.828 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-10-06 16:33:23.832 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-10-06 16:33:23.904 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-10-06 16:33:23.906 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-10-06 16:33:24.250 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-10-06 16:33:24.250 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-10-06 16:33:24.256 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-10-06 16:33:24.560 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-10-06 16:33:24.582 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-10-06 16:33:24.583 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-10-06 16:33:24.601 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-10-06 16:33:24.628 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7eae3764
[DEBUG] 2019-10-06 16:33:24.628 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7eae3764
[DEBUG] 2019-10-06 16:33:24.628 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7eae3764
[DEBUG] 2019-10-06 16:33:24.629 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7e744f43
[DEBUG] 2019-10-06 16:33:24.629 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@35eb4a3b
[DEBUG] 2019-10-06 16:33:24.630 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@26b95b0b
[DEBUG] 2019-10-06 16:33:24.631 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@77ec6a3d
[DEBUG] 2019-10-06 16:33:24.631 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@77ec6a3d
[DEBUG] 2019-10-06 16:33:24.631 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@77ec6a3d
[DEBUG] 2019-10-06 16:33:24.632 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@245ec1a6
[DEBUG] 2019-10-06 16:33:24.632 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@245ec1a6
[DEBUG] 2019-10-06 16:33:24.632 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@245ec1a6
[DEBUG] 2019-10-06 16:33:24.633 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2016f509
[DEBUG] 2019-10-06 16:33:24.634 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2016f509
[DEBUG] 2019-10-06 16:33:24.634 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2016f509
[DEBUG] 2019-10-06 16:33:24.635 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@2123064f
[DEBUG] 2019-10-06 16:33:24.635 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@2123064f
[DEBUG] 2019-10-06 16:33:24.635 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@2123064f
[DEBUG] 2019-10-06 16:33:24.636 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@73fb1d7f
[DEBUG] 2019-10-06 16:33:24.637 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@73fb1d7f
[DEBUG] 2019-10-06 16:33:24.637 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@73fb1d7f
[DEBUG] 2019-10-06 16:33:24.638 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6ecdbab8
[DEBUG] 2019-10-06 16:33:24.638 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6ecdbab8
[DEBUG] 2019-10-06 16:33:24.638 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@6ecdbab8
[DEBUG] 2019-10-06 16:33:24.639 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@29138d3a
[DEBUG] 2019-10-06 16:33:24.640 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@29138d3a
[DEBUG] 2019-10-06 16:33:24.640 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@29138d3a
[DEBUG] 2019-10-06 16:33:24.640 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@435e60ff
[DEBUG] 2019-10-06 16:33:24.641 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@435e60ff
[DEBUG] 2019-10-06 16:33:24.641 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@212dfd39
[DEBUG] 2019-10-06 16:33:24.642 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@212dfd39
[DEBUG] 2019-10-06 16:33:24.644 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@1fac1d5c
[DEBUG] 2019-10-06 16:33:24.644 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@1fac1d5c
[DEBUG] 2019-10-06 16:33:24.645 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@6850b758
[DEBUG] 2019-10-06 16:33:24.645 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4207609e
[DEBUG] 2019-10-06 16:33:24.646 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@534c6767
[DEBUG] 2019-10-06 16:33:24.646 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@534c6767
[DEBUG] 2019-10-06 16:33:24.647 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@2ba5aa7a
[DEBUG] 2019-10-06 16:33:24.647 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@2ba5aa7a
[DEBUG] 2019-10-06 16:33:24.656 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@10643593
[DEBUG] 2019-10-06 16:33:24.656 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@10643593
[DEBUG] 2019-10-06 16:33:24.658 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@6917bb4
