[DEBUG] 2019-11-04 06:22:36.150 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-11-04 06:22:36.160 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-11-04 06:22:36.164 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-11-04 06:22:36.279 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-11-04 06:22:36.281 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-11-04 06:22:36.615 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-11-04 06:22:36.616 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-11-04 06:22:36.627 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-11-04 06:22:37.093 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-11-04 06:22:37.122 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-11-04 06:22:37.123 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-11-04 06:22:37.154 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-11-04 06:22:37.214 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4441d567
[DEBUG] 2019-11-04 06:22:37.214 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4441d567
[DEBUG] 2019-11-04 06:22:37.215 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4441d567
[DEBUG] 2019-11-04 06:22:37.215 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@47ec7422
[DEBUG] 2019-11-04 06:22:37.215 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@2b56f5f8
[DEBUG] 2019-11-04 06:22:37.216 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@1aa99005
[DEBUG] 2019-11-04 06:22:37.217 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@16073fa8
[DEBUG] 2019-11-04 06:22:37.217 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@16073fa8
[DEBUG] 2019-11-04 06:22:37.217 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@16073fa8
[DEBUG] 2019-11-04 06:22:37.218 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@7918c7f8
[DEBUG] 2019-11-04 06:22:37.218 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@7918c7f8
[DEBUG] 2019-11-04 06:22:37.219 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@7918c7f8
[DEBUG] 2019-11-04 06:22:37.222 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@7144655b
[DEBUG] 2019-11-04 06:22:37.223 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@7144655b
[DEBUG] 2019-11-04 06:22:37.224 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@7144655b
[DEBUG] 2019-11-04 06:22:37.225 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@49cf9028
[DEBUG] 2019-11-04 06:22:37.225 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@49cf9028
[DEBUG] 2019-11-04 06:22:37.226 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@49cf9028
[DEBUG] 2019-11-04 06:22:37.227 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4d774249
[DEBUG] 2019-11-04 06:22:37.228 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4d774249
[DEBUG] 2019-11-04 06:22:37.228 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@4d774249
[DEBUG] 2019-11-04 06:22:37.229 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5411dd90
[DEBUG] 2019-11-04 06:22:37.229 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5411dd90
[DEBUG] 2019-11-04 06:22:37.229 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5411dd90
[DEBUG] 2019-11-04 06:22:37.231 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@59496961
[DEBUG] 2019-11-04 06:22:37.231 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@59496961
[DEBUG] 2019-11-04 06:22:37.231 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@59496961
[DEBUG] 2019-11-04 06:22:37.233 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@a52ca2e
[DEBUG] 2019-11-04 06:22:37.233 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@a52ca2e
[DEBUG] 2019-11-04 06:22:37.240 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@26d820eb
[DEBUG] 2019-11-04 06:22:37.242 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@26d820eb
[DEBUG] 2019-11-04 06:22:37.244 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@49293b43
[DEBUG] 2019-11-04 06:22:37.244 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@49293b43
[DEBUG] 2019-11-04 06:22:37.245 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@67440de6
[DEBUG] 2019-11-04 06:22:37.246 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4c4f4365
[DEBUG] 2019-11-04 06:22:37.247 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@d56aaa6
[DEBUG] 2019-11-04 06:22:37.248 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@d56aaa6
[DEBUG] 2019-11-04 06:22:37.250 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@6fd77352
[DEBUG] 2019-11-04 06:22:37.250 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@6fd77352
[DEBUG] 2019-11-04 06:22:37.265 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@38eb2c50
[DEBUG] 2019-11-04 06:22:37.266 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@38eb2c50
[DEBUG] 2019-11-04 06:22:37.269 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@56d93692
[DEBUG] 2019-11-04 06:22:37.269 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@56d93692
[DEBUG] 2019-11-04 06:22:37.272 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@5c10285a
[DEBUG] 2019-11-04 06:22:37.272 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@5c10285a
[DEBUG] 2019-11-04 06:22:37.278 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@3157e4c0
[DEBUG] 2019-11-04 06:22:37.279 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@3157e4c0
[DEBUG] 2019-11-04 06:22:37.281 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@77010a30
[DEBUG] 2019-11-04 06:22:37.282 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@77010a30
[DEBUG] 2019-11-04 06:22:37.289 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@28348c6
[DEBUG] 2019-11-04 06:22:37.290 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@28348c6
[DEBUG] 2019-11-04 06:22:37.297 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@b016b4e
[DEBUG] 2019-11-04 06:22:37.297 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@b016b4e
[DEBUG] 2019-11-04 06:22:37.299 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@3cae7b8b
[DEBUG] 2019-11-04 06:22:37.299 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@3cae7b8b
[DEBUG] 2019-11-04 06:22:37.301 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@5fc930f0
[DEBUG] 2019-11-04 06:22:37.301 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@5fc930f0
